txn_id,bank_id,currency_amount,txn_status,update_time
1,10000,100.00000,0,1444118813
2,10000,100.00000,0,1444118843
3,10000,100.00000,0,1444118994
4,10006,100.00000,0,1444121142
5,10001,100.00000,0,1444121176
6,10001,520.00000,0,1444121182
7,10001,100.00000,0,1444121195
8,10001,520.00000,0,1444121214
9,10006,100.00000,0,1444121240
10,10001,100.00000,0,1444121270
11,10006,100.00000,0,1444121717
12,10006,100.00000,0,1444122942
13,10001,100.00000,0,1444123009
14,10001,100.00000,0,1444123727
15,10000,220.00000,0,1444123760
16,10006,100.00000,0,1444123847
17,10006,100.00000,0,1444124153
18,10000,520.00000,0,1444125137
19,10000,520.00000,0,1444125166
20,10006,520.00000,0,1444125177
21,10000,520.00000,0,1444125198
22,10001,520.00000,0,1444125234
23,10006,520.00000,0,1444125265
24,10001,520.00000,0,1444125282
25,10001,55.00000,0,1444134023
26,10001,50.00000,0,1444134607
27,10000,15.00000,0,1444134784
28,10000,15.00000,0,1444134808
29,10006,50.00000,0,1444135881
30,10006,123.00000,0,1444190818
31,10006,123.00000,0,1444191324
32,10006,123.00000,0,1444191410
33,10001,123.00000,0,1444191661
34,10001,123.00000,0,1444192442
35,10001,123.00000,0,1444192610
36,10001,520.00000,0,1444202636
37,10006,100.00000,0,1444207428
38,10000,100.00000,0,1444207469
39,10001,100.00000,0,1444207532
40,10001,100.00000,0,1444207585
41,10000,100.00000,0,1444207606
42,10006,100.00000,0,1444207681
43,10006,123.00000,0,1444208937
44,10001,123.00000,0,1444211790
45,10001,500123.00000,0,1444214749
46,10001,50.00000,0,1444215642
47,10001,50.00000,0,1444216197
48,10000,123.00000,0,1444219611
49,10001,10.00000,0,1444272439
50,10001,10.00000,0,1444272450
51,10000,123.00000,0,1444272813
52,10000,123.00000,0,1444272835
53,10006,123.00000,0,1444272871
54,10006,289.00000,0,1444273001
55,10000,289.00000,0,1444273147
56,10001,289.00000,0,1444273333
57,10001,123.00000,0,1444274629
58,10006,200.00000,0,1444286960
59,10000,200.00000,0,1444286977
60,10001,200.00000,0,1444287007
61,10001,200.00000,0,1444287025
62,10001,200.00000,0,1444287054
63,10001,123.00000,0,1444300560
64,10001,123.00000,0,1444300601
65,10000,220.00000,0,1444361124
66,10000,220.00000,0,1444361158
67,10001,123.00000,0,1444371980
68,10001,123.00000,0,1444372272
69,10001,123.00000,0,1444372318
70,10001,123.00000,0,1444378766
71,10001,100.00000,0,1444383560
72,10001,100.00000,0,1444389728
73,10000,100.00000,0,1444389817
74,10000,100.00000,0,1444389837
75,10000,100.00000,0,1444389871
76,10006,123.00000,0,1444614256
77,10001,27.00000,2,1444640565
78,10006,27.00000,0,1444628340
79,10001,27.00000,2,1444642363
80,10006,27.00000,0,1444644852
81,10006,27.00000,0,1444645121
82,10001,27.00000,2,1444803301
83,10001,27.00000,0,1444645472
84,10001,330.00000,0,1444646217
85,10000,10.00000,0,1444647043
86,10000,10.00000,0,1444647069
87,10000,10.00000,0,1444647090
88,10006,27.00000,0,1444648142
89,10006,27.00000,0,1444648298
90,10006,27.00000,0,1444648848
91,10006,27.00000,0,1444648872
92,10006,27.00000,0,1444648986
93,10006,27.00000,0,1444649051
94,10001,27.00000,3,1444803806
95,10001,27.00000,2,1444804182
96,10006,27.00000,0,1444881695
97,10001,4.00000,0,1444882149
98,10000,27.00000,2,1444903944
99,10000,50.00000,0,1444986967
100,10006,2.00000,3,1444989664
101,10000,2.00000,2,1444989922
102,10006,2.00000,2,1444989923
103,10000,27.00000,2,1444989923
104,10006,27.00000,2,1444989724
105,10001,2.00000,2,1444990389
106,10006,6.00000,3,1444995064
107,10001,2.00000,2,1444993187
108,10006,150.00000,3,1445312357
109,10001,10.00000,2,1444995424
110,10006,343.00000,3,1445312357
111,10006,150.00000,3,1445312357
112,10006,123.00000,3,1445328020
113,10006,123.00000,3,1445328022
114,10006,425.00000,3,1445331602
115,10006,425.00000,3,1445331603
116,10006,27.00000,3,1445338876
117,10006,2.00000,3,1445344238
118,10006,2.00000,3,1445344240
119,10006,27.00000,3,1445344243
120,10006,27.00000,3,1445344250
121,10006,27.00000,3,1445344252
122,10006,27.00000,3,1445344254
123,10006,27.00000,3,1445347802
124,10001,123.00000,0,1445393386
125,10006,2.00000,3,1445407206
126,10000,27.00000,0,1445422998
127,10000,27.00000,0,1445425342
128,10000,27.00000,0,1445425410
